Method,ECE,Brier,T
Raw,0.0006830430694680249,0.0007805760833434761,1.0
TempScaling (T=1.567),0.0003173553446954278,0.0007303544096724582,1.566966210262504
UQ-Calib (λ=0.1),0.0006823038492972328,0.0007804299821145833,-
UQ-Calib (λ=0.5),0.0006819056332553101,0.0007810345850884914,-
UQ-Calib (λ=1.0),0.0006860200437081883,0.0007844633073545992,-
UQ-Calib (λ=2.0),0.0006889662155403807,0.0007872662390582263,-
UQ-Calib (λ=5.0),0.0006945944096967796,0.000792669306974858,-
UQ-Calib (λ=10.0),0.000701463102773665,0.0007990894373506308,-
