Model Type,Dice,clDice,T_Prec,T_Sens,Eval Time (s)
Base Prediction,0.8427702265372168,0.8346334565257099,0.9511793746571585,0.7435303205870992,3.24
HL-PH Refined (λ=0.5),0.8418315174228779,0.8332093332320062,0.9531938325991189,0.7400540749324064,3.01
